"","JD","hw.reg","mid.reg","ms.reg"
"124",62.5,7.17267386270043,7.58655932603871,8.70867816387122
"125",63,5.90976345797288,5.87711291247406,7.30367964351371
"126",63.5,7.20165305324533,7.6179634061259,8.75154112315619
"127",64,5.93586504733589,5.90366415205668,7.34464213937596
"128",64.5,7.23787704142645,7.65721850623489,8.8051198222624
"129",65,5.9632666366989,5.9319710617424,7.38705630190488
"130",65.5,7.26685623197135,7.68862258632208,8.84798278154736
"131",66,5.98936822606191,5.95852230132503,7.42801879776713
"132",66.5,7.30308022015247,7.72787768643107,8.90156148065357
"133",67,6.01909221424303,5.98899905091855,7.47433916354001
"134",67.5,7.33930420833359,7.76713278654006,8.95514017975978
"135",68,6.04649380360604,6.01730596060427,7.51675332606893
"136",68.5,7.36828339887849,7.79853686662725,8.99800313904475
"137",69,6.07259539296905,6.0438572001869,7.55771582193118
"138",69.5,7.40450738705961,7.83779196673624,9.05158183815096
"139",70,6.10231938115017,6.07433394978042,7.60403618770406
"140",70.5,7.44073137524073,7.87704706684522,9.10516053725716
"141",71,6.13204336933129,6.10481069937394,7.65035655347693
"142",71.5,7.47695536342185,7.91630216695421,9.15873923636337
"143",72,6.16176735751242,6.13528744896747,7.69667691924981
"144",72.5,7.51317935160298,7.9555572670632,9.21231793546958
"145",73,6.19149134569354,6.16576419856099,7.74299728502268
"146",73.5,7.5494033397841,7.99481236717219,9.26589663457579
"147",74,6.22353773269277,6.19841078806232,7.79322385403951
"148",74.5,7.59287212560144,8.04191848730297,9.33019107350324
"149",75,6.25688411969201,6.23281304766675,7.84490208972301
"150",75.5,7.62909611378257,8.08117358741196,9.38376977260945
"151",76,6.28660810787313,6.26328979726027,7.89122245549588
"152",76.5,7.66532010196369,8.12042868752095,9.43734847171566
"153",77,6.31633209605425,6.2937665468538,7.93754282126876
"154",77.5,7.70154409014481,8.15968378762994,9.49092717082186
"155",78,6.34837848305348,6.32641313635513,7.98776939028559
"156",78.5,7.74501287596216,8.20678990776073,9.55522160974932
"157",79,6.38172487005272,6.36081539595955,8.03944762596909
"158",79.5,7.78123686414328,8.24604500786972,9.60880030885552
"159",80,6.41377125705195,6.39346198546088,8.08967419498591
"160",80.5,7.82470564996062,8.2931511280005,9.67309474778297
"161",81,6.4494400428693,6.43003408497311,8.14525863391336
"162",81.5,7.86817443577797,8.34025724813129,9.73738918671042
"163",82,6.48278642986853,6.46443634457754,8.19693686959686
