"JD","WT"
297.6,17.623
298.1,17.467
298.6,17.467
299.1,17.311
299.6,17.311
300.1,17.142
300.6,17.142
301.1,16.986
301.6,16.986
302.1,16.83
302.6,16.83
303.1,16.674
303.6,16.674
304.1,16.531
304.6,16.531
305.1,16.375
305.6,16.375
306.1,16.219
306.6,16.219
307.1,16.063
307.6,16.063
308.1,15.92
308.6,15.92
309.1,15.764
309.6,15.764
310.1,15.621
310.6,15.621
311.1,15.478
311.6,15.478
312.1,15.335
312.6,15.335
313.1,15.192
313.6,15.192
314.1,15.049
314.6,15.049
315.1,14.906
315.6,14.906
316.1,14.776
316.6,14.776
317.1,14.633
317.6,14.633
318.1,14.503
318.6,14.503
319.1,14.373
319.6,14.373
320.1,14.243
320.6,14.243
321.1,14.113
321.6,14.113
322.1,13.983
322.6,13.983
323.1,13.866
323.6,13.866
324.1,13.736
324.6,13.736
325.1,13.619
325.6,13.619
326.1,13.515
326.6,13.515
327.1,13.398
327.6,13.398
328.1,13.281
328.6,13.281
329.1,13.177
329.6,13.177
330.1,13.073
330.6,13.073
331.1,12.969
331.6,12.969
332.1,12.865
332.6,12.865
333.1,12.774
333.6,12.774
334.1,12.683
334.6,12.683
335.1,12.592
335.6,12.592
336.1,12.501
336.6,12.501
337.1,12.41
337.6,12.41
338.1,12.332
338.6,12.332
339.1,12.254
339.6,12.254
340.1,12.176
340.6,12.176
341.1,12.098
341.6,12.098
342.1,12.033
342.6,12.033
343.1,11.968
343.6,11.968
344.1,11.89
344.6,11.89
345.1,11.838
345.6,11.838
346.1,11.773
346.6,11.773
347.1,11.708
347.6,11.708
348.1,11.656
348.6,11.656
349.1,11.604
349.6,11.604
350.1,11.552
350.6,11.552
351.1,11.513
351.6,11.513
352.1,11.461
352.6,11.461
353.1,11.422
353.6,11.422
354.1,11.37
354.6,11.37
355.1,11.331
355.6,11.331
356.1,11.305
356.6,11.305
357.1,11.266
357.6,11.266
358.1,11.227
358.6,11.227
359.1,11.201
359.6,11.201
360.1,11.175
360.6,11.175
361.1,11.149
361.6,11.149
362.1,11.123
362.6,11.123
363.1,11.097
363.6,11.097
364.1,11.071
364.6,11.071
365.1,11.058
365.6,11.058
